time;r_1_1;r_1_2;r_1_3;r_2_1;r_2_2;r_2_3;r_3_1;r_3_2;r_3_3;r_4_1;r_4_2;r_4_3
1.4000002145767212e+00;5.3881174325942993e-01;1.0761241912841797e+00;0.0000000000000000e+00;-1.0761241912841797e+00;5.3881174325942993e-01;0.0000000000000000e+00;-5.3881174325942993e-01;-1.0761241912841797e+00;0.0000000000000000e+00;1.0761241912841797e+00;-5.3881174325942993e-01;0.0000000000000000e+00;
1.5000002384185791e+00;4.8215523362159729e-01;1.1299082040786743e+00;0.0000000000000000e+00;-1.1299082040786743e+00;4.8215523362159729e-01;0.0000000000000000e+00;-4.8215523362159729e-01;-1.1299082040786743e+00;0.0000000000000000e+00;1.1299082040786743e+00;-4.8215523362159729e-01;0.0000000000000000e+00;
1.6000002622604370e+00;4.2403998970985413e-01;1.1802648305892944e+00;0.0000000000000000e+00;-1.1802648305892944e+00;4.2403998970985413e-01;0.0000000000000000e+00;-4.2403998970985413e-01;-1.1802648305892944e+00;0.0000000000000000e+00;1.1802648305892944e+00;-4.2403998970985413e-01;0.0000000000000000e+00;
1.7000002861022949e+00;3.6471936106681824e-01;1.2272567749023438e+00;0.0000000000000000e+00;-1.2272567749023438e+00;3.6471936106681824e-01;0.0000000000000000e+00;-3.6471936106681824e-01;-1.2272567749023438e+00;0.0000000000000000e+00;1.2272567749023438e+00;-3.6471936106681824e-01;0.0000000000000000e+00;
1.8000003099441528e+00;3.0442470312118530e-01;1.2709605693817139e+00;0.0000000000000000e+00;-1.2709605693817139e+00;3.0442470312118530e-01;0.0000000000000000e+00;-3.0442470312118530e-01;-1.2709605693817139e+00;0.0000000000000000e+00;1.2709605693817139e+00;-3.0442470312118530e-01;0.0000000000000000e+00;
1.9000003337860107e+00;2.4336613714694977e-01;1.3114629983901978e+00;0.0000000000000000e+00;-1.3114629983901978e+00;2.4336613714694977e-01;0.0000000000000000e+00;-2.4336613714694977e-01;-1.3114629983901978e+00;0.0000000000000000e+00;1.3114629983901978e+00;-2.4336613714694977e-01;0.0000000000000000e+00;
2.0000002384185791e+00;1.8173359334468842e-01;1.3488584756851196e+00;0.0000000000000000e+00;-1.3488584756851196e+00;1.8173359334468842e-01;0.0000000000000000e+00;-1.8173359334468842e-01;-1.3488584756851196e+00;0.0000000000000000e+00;1.3488584756851196e+00;-1.8173359334468842e-01;0.0000000000000000e+00;
2.1000001430511475e+00;1.1969816684722900e-01;1.3832463026046753e+00;0.0000000000000000e+00;-1.3832463026046753e+00;1.1969816684722900e-01;0.0000000000000000e+00;-1.1969816684722900e-01;-1.3832463026046753e+00;0.0000000000000000e+00;1.3832463026046753e+00;-1.1969816684722900e-01;0.0000000000000000e+00;
2.2000000476837158e+00;5.7413440197706223e-02;1.4147286415100098e+00;0.0000000000000000e+00;-1.4147286415100098e+00;5.7413440197706223e-02;0.0000000000000000e+00;-5.7413440197706223e-02;-1.4147286415100098e+00;0.0000000000000000e+00;1.4147286415100098e+00;-5.7413440197706223e-02;0.0000000000000000e+00;
2.2999999523162842e+00;-4.9830633215606213e-03;1.4434092044830322e+00;0.0000000000000000e+00;-1.4434092044830322e+00;-4.9830633215606213e-03;0.0000000000000000e+00;4.9830633215606213e-03;-1.4434092044830322e+00;0.0000000000000000e+00;1.4434092044830322e+00;4.9830633215606213e-03;0.0000000000000000e+00;
