h_lenght,eps,algorithm_type,num_threads,method_type,n_of_iter,error_in_norm_inf,time_taken
0.001,"0,000001",Sequential,1,Jacobi,80,3.5125e-06,1.13271
0.001,"0,000001",Parallel,1,Jacobi,80,3.5125e-06,1.14826
0.001,"0,000001",Parallel,2,Jacobi,80,3.5125e-06,0.692377
0.001,"0,000001",Parallel,4,Jacobi,80,3.5125e-06,0.422685
0.001,"0,000001",Parallel,6,Jacobi,80,3.5125e-06,0.348717
0.001,"0,000001",Parallel,8,Jacobi,80,3.5125e-06,0.333435
0.001,"0,000001",Parallel,12,Jacobi,80,3.5125e-06,0.34552
0.001,"0,000001",Parallel,16,Jacobi,80,3.5125e-06,0.4186
0.001,"0,000001",Parallel,18,Jacobi,80,3.5125e-06,0.54342
0.001,"0,000001",Sequential,1,Seidel_RB,43,1.294e-06,0.597059
0.001,"0,000001",Parallel,1,Seidel_RB,79,3.95173e-06,1.13461
0.001,"0,000001",Parallel,2,Seidel_RB,79,3.95173e-06,0.629477
0.001,"0,000001",Parallel,4,Seidel_RB,79,3.95173e-06,0.398777
0.001,"0,000001",Parallel,6,Seidel_RB,79,3.95173e-06,0.323962
0.001,"0,000001",Parallel,8,Seidel_RB,79,3.95173e-06,0.309952
0.001,"0,000001",Parallel,12,Seidel_RB,79,3.95173e-06,0.316121
0.001,"0,000001",Parallel,16,Seidel_RB,79,3.95173e-06,0.38675
0.001,"0,000001",Parallel,18,Seidel_RB,79,3.95173e-06,0.522502
