h_lenght,eps,algorithm_type,num_threads,method_type,n_of_iter,error_in_norm_inf,time_taken
0.0001,1e-06,Sequential,1,Jacobi,90,3.77422e-06,134.329
0.0001,1e-06,Sequential,1,Seidel_RB,48,1.39133e-06,70.5152
0.0001,1e-06,Parallel,1,Jacobi,90,3.77422e-06,134.971
0.0001,1e-06,Parallel,1,Seidel_RB,90,3.3968e-06,132.726
0.0001,1e-06,Parallel,2,Jacobi,90,3.77422e-06,68.9129
0.0001,1e-06,Parallel,2,Seidel_RB,90,3.3968e-06,68.7611
0.0001,1e-06,Parallel,4,Jacobi,90,3.77422e-06,36.8858
0.0001,1e-06,Parallel,4,Seidel_RB,90,3.3968e-06,37.4576
0.0001,1e-06,Parallel,6,Jacobi,90,3.77422e-06,26.3264
0.0001,1e-06,Parallel,6,Seidel_RB,90,3.3968e-06,26.9612
0.0001,1e-06,Parallel,8,Jacobi,90,3.77422e-06,20.9531
0.0001,1e-06,Parallel,8,Seidel_RB,90,3.3968e-06,21.358
0.0001,1e-06,Parallel,12,Jacobi,90,3.77422e-06,15.8826
0.0001,1e-06,Parallel,12,Seidel_RB,90,3.3968e-06,15.9293
0.0001,1e-06,Parallel,16,Jacobi,90,3.77422e-06,15.4927
0.0001,1e-06,Parallel,16,Seidel_RB,90,3.3968e-06,15.5903
0.0001,1e-06,Parallel,18,Jacobi,90,3.77422e-06,14.3197
0.0001,1e-06,Parallel,18,Seidel_RB,90,3.3968e-06,14.5944


