h_lenght;eps;num_procs;method_type;communication_type;n_of_iter;error_in_norm_inf;time_taken
0.001;1e-06;Send_Recv;8;Jacobi;80;3.5125e-06;0.151916
0.001;1e-06;Sendrecv;8;Jacobi;80;3.5125e-06;0.148979
0.001;1e-06;ISend_IRecv;8;Jacobi;80;3.5125e-06;0.149062
0.001;1e-06;Send_Recv;8;Seidel_RB;52;1.64562e-06;0.0968945
0.001;1e-06;Sendrecv;8;Seidel_RB;52;1.64562e-06;0.0971647
0.001;1e-06;ISend_IRecv;8;Seidel_RB;52;1.64562e-06;0.096215
