h_lenght;eps;communication_type;num_procs;method_type;n_of_iter;error_in_norm_inf;time_taken
0.000125;1e-06;Send_Recv;4;Jacobi;89;3.77421e-06;22.2469
0.000125;1e-06;Sendrecv;4;Jacobi;89;3.77421e-06;22.097
0.000125;1e-06;ISend_IRecv;4;Jacobi;89;3.77421e-06;22.6439
0.000125;1e-06;Send_Recv;4;Seidel_RB;47;1.73915e-06;12.579
0.000125;1e-06;Sendrecv;4;Seidel_RB;47;1.73915e-06;12.5091
0.000125;1e-06;ISend_IRecv;4;Seidel_RB;47;1.73915e-06;12.6676
