h_lenght;eps;num_procs;method_type;communication_type;n_of_iter;error_in_norm_inf;time_taken
0.001;1e-06;Send_Recv;6;Jacobi;80;3.5125e-06;0.204941
0.001;1e-06;Sendrecv;6;Jacobi;80;3.5125e-06;0.20306
0.001;1e-06;ISend_IRecv;6;Jacobi;80;3.5125e-06;0.202903
0.001;1e-06;Send_Recv;6;Seidel_RB;43;1.294e-06;0.107652
0.001;1e-06;Sendrecv;6;Seidel_RB;43;1.294e-06;0.10772
0.001;1e-06;ISend_IRecv;6;Seidel_RB;43;1.294e-06;0.107202
