h_lenght;eps;num_procs;method_type;communication_type;n_of_iter;error_in_norm_inf;time_taken
0.001;1e-06;Send_Recv;16;Jacobi;80;3.5125e-06;0.0988767
0.001;1e-06;Sendrecv;16;Jacobi;80;3.5125e-06;0.0939136
0.001;1e-06;ISend_IRecv;16;Jacobi;80;3.5125e-06;0.0939544
0.001;1e-06;Send_Recv;16;Seidel_RB;43;1.294e-06;0.0524059
0.001;1e-06;Sendrecv;16;Seidel_RB;43;1.294e-06;0.0517326
0.001;1e-06;ISend_IRecv;16;Seidel_RB;43;1.294e-06;0.0504486
